service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
00318 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00320[2025-7-24],0,0,0,0,0,0,0,20230417,20261231
00321,0,0,0,0,0,0,0,20230417,20261231
00321 Ferien (U-FR),0,0,0,0,0,0,0,20230417,20261231
00321 Ferien (U-MD),0,0,0,0,0,0,0,20230417,20261231
00321[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00322,0,0,0,0,0,0,0,20230417,20261231
00322[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00326 FR (nur C6),0,0,0,0,0,0,0,20230417,20261231
00326 MD (nur C6),0,0,0,0,0,0,0,20230417,20261231
00354 FR,0,0,0,0,0,0,0,20230417,20261231
00354 FR[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00406 (U-MD),0,0,0,0,0,0,0,20230417,20261231
00409 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00409 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00411 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00411 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00412,0,0,0,0,0,0,0,20230417,20261231
00412[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00413,0,0,0,0,0,0,0,20230417,20261231
00413 (U-DO),0,0,0,0,0,0,0,20230417,20261231
00413 (U-MM),0,0,0,0,0,0,0,20230417,20261231
00413 Ferien (U-FR),0,0,0,0,0,0,0,20230417,20261231
00413 Ferien (U-MD),0,0,0,0,0,0,0,20230417,20261231
00413 MiDo mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
00413 bis 31.07.25[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00413[2025-9-16],0,0,0,0,0,0,0,20230417,20261231
00424,0,0,0,0,0,0,0,20230417,20261231
00424 Ferien,0,0,0,0,0,0,0,20230417,20261231
00424[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00441,0,0,0,0,0,0,0,20230417,20261231
00441[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00501 DO SF/WF[2025-8-7],0,0,0,0,0,0,0,20230417,20261231
00501 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00501 SF/WF bis 15.09.25,0,0,0,0,0,0,0,20230417,20261231
00502,0,0,0,0,0,0,0,20230417,20261231
00502 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00502 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
00503,0,0,0,0,0,0,0,20230417,20261231
00503 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
00504,0,0,0,0,0,0,0,20230417,20261231
00504 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00504 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
00505,0,0,0,0,0,0,0,20230417,20261231
00505 Ferien,0,0,0,0,0,0,0,20230417,20261231
00505 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00505 SF/WF NEU,0,0,0,0,0,0,0,20230417,20261231
00505 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
00506,0,0,0,0,0,0,0,20230417,20261231
00506 Ferien,0,0,0,0,0,0,0,20230417,20261231
00506 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
00507,0,0,0,0,0,0,0,20230417,20261231
00507 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
00513 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00513 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00601,0,0,0,0,0,0,0,20230417,20261231
00601 Ferien,0,0,0,0,0,0,0,20230417,20261231
00601 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00601 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
00602 (U-FR),0,0,0,0,0,0,0,20230417,20261231
00602 (U-MD),0,0,0,0,0,0,0,20230417,20261231
00603,0,0,0,0,0,0,0,20230417,20261231
00604,0,0,0,0,0,0,0,20230417,20261231
00604 früher Schulschl.,0,0,0,0,0,0,0,20230417,20261231
00604 früher Schulschl. bis 31.07.25[2025-7-31],0,0,0,0,0,0,0,20230417,20261231
00604[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00606 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00607,0,0,0,0,0,0,0,20230417,20261231
00607 (U-MD),0,0,0,0,0,0,0,20230417,20261231
00607 Ferien,0,0,0,0,0,0,0,20230417,20261231
00607 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00607 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00609 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00610,0,0,0,0,0,0,0,20230417,20261231
00610[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00611,0,0,0,0,0,0,0,20230417,20261231
00611 Ferien,0,0,0,0,0,0,0,20230417,20261231
00617 nur C6,0,0,0,0,0,0,0,20230417,20261231
00621 Ferien (U-FR),0,0,0,0,0,0,0,20230417,20261231
00655 FR,0,0,0,0,0,0,0,20230417,20261231
00655 FR[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00701 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00701 SF/WF bis 15.09.25,0,0,0,0,0,0,0,20230417,20261231
00703,0,0,0,0,0,0,0,20230417,20261231
00703 Ferien,0,0,0,0,0,0,0,20230417,20261231
00703 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00703 SF/WF bis 15.09.25,0,0,0,0,0,0,0,20230417,20261231
00703 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
00706 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00706 SF/WF bis 15.09.25,0,0,0,0,0,0,0,20230417,20261231
00708,0,0,0,0,0,0,0,20230417,20261231
00708 Ferien,0,0,0,0,0,0,0,20230417,20261231
00708 bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
00709,0,0,0,0,0,0,0,20230417,20261231
00709 DO,0,0,0,0,0,0,0,20230417,20261231
00709 DO bis 31.07.25[2025-7-31],0,0,0,0,0,0,0,20230417,20261231
00709 DO[2025-9-18],0,0,0,0,0,0,0,20230417,20261231
00709 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00709 SF/WF bis 15.09.25,0,0,0,0,0,0,0,20230417,20261231
00709 bis 30.07.25,0,0,0,0,0,0,0,20230417,20261231
00710 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00710 SF/WF bis 15.09.25,0,0,0,0,0,0,0,20230417,20261231
00734,0,0,0,0,0,0,0,20230417,20261231
00734 DO,0,0,0,0,0,0,0,20230417,20261231
00734 DO bis 31.07.25[2025-7-31],0,0,0,0,0,0,0,20230417,20261231
00734 DO[2025-9-18],0,0,0,0,0,0,0,20230417,20261231
00734 bis 30.07.25[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00734[2025-9-16],0,0,0,0,0,0,0,20230417,20261231
00802 Sperre Altstadt,0,0,0,0,0,0,0,20230417,20261231
00803,0,0,0,0,0,0,0,20230417,20261231
00808 DO mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
00808 DO mit Eisl.kein NB,0,0,0,0,0,0,0,20230417,20261231
