from_stop_id,to_stop_id,transfer_type,min_transfer_time
de:09362:11060:0:2,de:09362:11060:0:1,2,60
de:09362:14003:0:2,de:09362:14003:0:1,2,60
de:09362:13025:0:1,de:09362:13025:0:2,2,60
de:09362:13025:0:1,de:09362:13025:0:3,2,60
de:09362:15035:0:2,de:09362:15035:0:1,2,60
de:09375:18008:0:1,de:09375:18008:0:2,2,60
de:09375:18030:0:1,de:09375:18030:0:2,2,60
de:09362:13010:0:1,de:09362:13010:0:2,2,60
de:09362:15004:0:2,de:09362:15004:0:6,2,60
de:09362:15004:0:2,de:09362:15004:0:5,2,60
de:09362:15004:0:2,de:09362:15004:0:3,2,60
de:09362:12039:0:4,de:09362:12039:0:3,2,60
de:09362:12039:0:4,de:09362:12039:0:0,2,60
de:09362:13015:0:3,de:09362:13015:0:2,2,60
de:09362:11041:0:1,de:09362:11041:0:2,2,60
de:09362:14108:2,de:09362:14108:1,2,60
de:09362:12028:0:2,de:09362:12028:0:1,2,60
de:09362:11030:4:5,de:09362:11030:4:6,2,60
de:09362:11030:4:5,de:09362:11030:3:4,2,60
de:09362:11030:4:5,de:09362:11030:1:1,2,60
de:09362:11030:4:5,de:09362:11030:2:3,2,60
de:09362:12087:0:1,de:09362:12087:0:0,2,60
de:09362:12021:0:2,de:09362:12021:0:1,2,60
de:09362:14064:0:1,de:09362:14064:0:2,2,60
de:09362:14061:0:1,de:09362:14061:02,2,60
de:09362:4:0:1,de:09362:4:0:2,2,60
de:09375:20006:0:1,de:09375:20006:0:2,2,60
de:09362:14041:0:2,de:09362:14041:0:1,2,60
de:09362:14041:0:2,de:09362:14041:0:3,2,60
de:09362:15033:0:2,de:09362:15033:0:3,2,60
de:09362:15033:0:2,de:09362:15033:0:0,2,60
de:09362:15033:0:2,de:09362:15033:0:5,2,60
de:09362:14094:0:1,de:09362:14094:0:2,2,60
de:09362:14041:0:3,de:09362:14041:0:1,2,60
de:09362:14041:0:3,de:09362:14041:0:2,2,60
de:09362:13025:0:3,de:09362:13025:0:2,2,60
de:09362:13025:0:3,de:09362:13025:0:1,2,60
de:09362:14073:0:2,de:09362:14073:0:4,2,60
de:09362:14073:0:2,de:09362:14073:0:3,2,60
de:09362:14064:0:2,de:09362:14064:0:1,2,60
de:09362:14103:0:2,de:09362:14103:0:1,2,60
de:09362:13033:0:2,de:09362:13033:0:1,2,60
de:09362:14068:0:1,de:09362:14068:0:3,2,60
de:09362:14068:0:1,de:09362:14068:0:4,2,60
de:09362:13020:0:1,de:09362:13020:0:2,2,60
de:09375:20005:0:2,de:09375:20005:0:1,2,60
de:09362:14038:0:2,de:09362:14038:0:1,2,60
de:09362:14038:0:2,de:09362:14038:0:3,2,60
de:09362:14093:0:1,de:09362:14093:0:2,2,60
de:09362:14051:2:3,de:09362:14051:1:0,2,60
de:09362:14051:2:3,de:09362:14051:1:1,2,60
de:09362:14051:2:3,de:09362:14051:2:6,2,60
de:09362:1724:0:1,de:09362:1724:0:2,2,60
de:09362:14035:0:1,de:09362:14035:0:2,2,60
de:09362:14056:0:2,de:09362:14056:0:1,2,60
de:09362:13031:0:1,de:09362:13031:0:2,2,60
de:09362:16008:0:2,de:09362:16008:0:1,2,60
de:09362:14050:0:4,de:09362:14050:0:1,2,60
de:09362:14050:0:4,de:09362:14050:0:2,2,60
de:09362:14050:0:4,de:09362:14050:0:3,2,60
de:09362:11121:1:5,de:09362:11090:50:3,2,60
de:09362:11121:1:5,de:09362:11090:50:2,2,60
de:09362:11121:1:5,de:09362:11090:40:6,2,60
de:09362:11121:1:5,de:09362:11090:50:6,2,60
de:09362:11121:1:5,de:09362:11121:1:6,2,60
de:09362:11121:1:5,de:09362:11090:50:1,2,60
de:09362:11121:1:5,de:09362:11090:50:4,2,60
de:09362:11121:1:5,de:09362:11121:3:7,2,60
de:09362:11121:1:5,de:09362:11121:2:3,2,60
de:09362:11121:1:5,de:09362:11090:50:5,2,60
de:09362:11121:1:5,de:09362:11121:1:4,2,60
de:09362:11121:1:5,de:09362:11090:30:3,2,60
de:09362:11121:1:5,de:09362:11090:5:15,2,60
de:09362:11121:1:5,de:09362:11121:2:1,2,60
de:09362:13032:0:1,de:09362:13032:0:2,2,60
de:09362:14066:0:2,de:09362:14066:0:4,2,60
de:09362:14066:0:2,de:09362:14066:0:3,2,60
de:09362:12072:0:2,de:09362:12072:0:1,2,60
de:09375:986:0:2,de:09375:986:0:1,2,60
de:09375:13060:0:2,de:09375:13060:0:1,2,60
de:09362:14084:0:2,de:09362:14084:0:3,2,60
de:09362:12015:0:2,de:09362:12015:0:4,2,60
de:09362:12015:0:2,de:09362:12015:0:3,2,60
de:09362:11121:2:3,de:09362:11090:50:3,2,60
de:09362:11121:2:3,de:09362:11090:50:2,2,60
de:09362:11121:2:3,de:09362:11090:40:6,2,60
de:09362:11121:2:3,de:09362:11090:50:6,2,60
de:09362:11121:2:3,de:09362:11121:1:6,2,60
de:09362:11121:2:3,de:09362:11090:50:1,2,60
de:09362:11121:2:3,de:09362:11090:50:4,2,60
de:09362:11121:2:3,de:09362:11121:3:7,2,60
de:09362:11121:2:3,de:09362:11090:50:5,2,60
de:09362:11121:2:3,de:09362:11121:1:5,2,60
de:09362:11121:2:3,de:09362:11121:1:4,2,60
de:09362:11121:2:3,de:09362:11090:30:3,2,60
de:09362:11121:2:3,de:09362:11090:5:15,2,60
de:09362:11121:2:3,de:09362:11121:2:1,2,60
de:09375:20003:0:0,de:09375:20003:0:4,2,60
de:09375:20003:0:0,de:09375:20003:0:2,2,60
de:09375:13044:0:2,de:09375:13044:0:1,2,60
de:09362:14041:0:1,de:09362:14041:0:3,2,60
de:09362:14041:0:1,de:09362:14041:0:2,2,60
de:09362:15016:0:2,de:09362:15016:0:1,2,60
de:09362:14009:0:2,de:09362:14009:0:1,2,60
de:09362:12081:2:1,de:09362:12081:2:0,2,60
de:09362:12081:2:1,de:09362:12081:2:5,2,60
de:09362:12081:2:1,de:09362:12081:1:3,2,60
de:09362:12014:0:1,de:09362:12014:0:2,2,60
de:09362:12099:0:2,de:09362:12099:0:3,2,60
de:09362:11090:50:5,de:09362:11090:50:3,2,60
de:09362:11090:50:5,de:09362:11090:50:2,2,60
de:09362:11090:50:5,de:09362:11090:40:6,2,60
de:09362:11090:50:5,de:09362:11090:50:6,2,60
de:09362:11090:50:5,de:09362:11121:1:6,2,60
de:09362:11090:50:5,de:09362:11090:50:1,2,60
de:09362:11090:50:5,de:09362:11090:50:4,2,60
de:09362:11090:50:5,de:09362:11121:3:7,2,60
de:09362:11090:50:5,de:09362:11121:2:3,2,60
de:09362:11090:50:5,de:09362:11121:1:5,2,60
de:09362:11090:50:5,de:09362:11121:1:4,2,60
de:09362:11090:50:5,de:09362:11090:30:3,2,60
de:09362:11090:50:5,de:09362:11090:5:15,2,60
de:09362:11090:50:5,de:09362:11121:2:1,2,60
de:09362:12017:0:1,de:09362:12017:0:2,2,60
de:09362:14016:0:3,de:09362:14016:0:2,2,60
