stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
"de:09362:11011_Parent","","Regensburg Justizgebäude","49.0128673","12.0882514","1",""
"de:09362:11020:0:1","","Regensburg Bismarckplatz","49.0181993","12.0891587","",""
"de:09362:11020:0:2","","Regensburg Bismarckplatz","49.018429","12.0891767","",""
"de:09362:11030:1:1","","Regensburg Dachauplatz Bstg 1","49.0167382","12.1019418","0","de:09362:11030_Parent"
"de:09362:11030:2:2","","Regensburg Dachauplatz Bstg 2","49.0176985","12.1018519","0","de:09362:11030_Parent"
"de:09362:11030:2:3","","Regensburg Dachauplatz Bstg 3","49.0178104","12.101807","0","de:09362:11030_Parent"
"de:09362:11030:3:4","","Regensburg Dachauplatz Bstg 4","49.0176808","12.1016184","0","de:09362:11030_Parent"
"de:09362:11030:4:5","","Regensburg Dachauplatz Bstg 5","49.0167559","12.1016274","0","de:09362:11030_Parent"
"de:09362:11030:4:6","","Regensburg Dachauplatz Bstg 6","49.0166557","12.1017082","0","de:09362:11030_Parent"
"de:09362:11030_Parent","","Regensburg Dachauplatz","49.0172684","12.1018519","1",""
"de:09362:11049:0:3","","Regensburg Wöhrdstraße","49.0214099","12.1100985","",""
"de:09362:11049:0:4","","Regensburg Wöhrdstraße","49.0215277","12.1090115","",""
"de:09362:11050:0:1","","Regensburg Eiserne Brücke","49.0217163","12.1028401","",""
"de:09362:11050:0:2","","Regensburg Eiserne Brücke","49.0217457","12.1028041","",""
"de:09362:11065:0:1","","Rgbg Gabelsbergerstraße","49.016968","12.1070262","",""
"de:09362:11065:0:3","","Rgbg Gabelsbergerstraße","49.0171035","12.1070981","",""
"de:09362:11090:30:1","","Regensburg Hauptbahnhof Bstg C1","49.01414","12.0998667","0","de:09362:11090_Parent"
"de:09362:11090:30:3","","Regensburg Hauptbahnhof Bstg C3","49.0139809","12.0998577","0","de:09362:11090_Parent"
"de:09362:11090:30:5","","Regensburg Hauptbahnhof Bstg C5","49.0137216","12.0997858","0","de:09362:11090_Parent"
"de:09362:11090:30:99","","Regensburg Hauptbahnhof Bstg C0","49.0143462","12.0999116","0","de:09362:11090_Parent"
"de:09362:11090:40:2","","Regensburg Hauptbahnhof Bstg C2","49.0143933","12.1001811","0","de:09362:11090_Parent"
"de:09362:11090:40:4","","Regensburg Hauptbahnhof Bstg C4","49.0142578","12.1000553","0","de:09362:11090_Parent"
"de:09362:11090:40:6","","Regensburg Hauptbahnhof Bstg C6","49.0140339","12.1000104","0","de:09362:11090_Parent"
"de:09362:11090:40:8","","Regensburg Hauptbahnhof Bstg C8","49.0137806","12.0999745","0","de:09362:11090_Parent"
"de:09362:11090:5:15","","Regensburg Hauptbahnhof Bstg West","49.0125256","12.0981509","0","de:09362:11090_Parent"
"de:09362:11090_Parent","","Regensburg Hauptbahnhof","49.0125786","12.099157","1",""
"de:09362:11121:1:4","","Regensburg Hauptbahnhof Bstg B6","49.0134271","12.1012141","0","de:09362:11090_Parent"
"de:09362:11121:1:5","","Regensburg Hauptbahnhof Bstg B4","49.0134271","12.1006931","0","de:09362:11090_Parent"
"de:09362:11121:1:6","","Hauptbahnhof Bstg B2","49.0134212","12.100226","0","de:09362:11090_Parent"
"de:09362:11121:2:1","","Regensburg Hauptbahnhof Bstg B1","49.0134624","12.1001182","0","de:09362:11090_Parent"
"de:09362:11121:2:3","","Regensburg Hauptbahnhof Bstg B5","49.0134742","12.1011063","0","de:09362:11090_Parent"
"de:09362:11121:3:7","","Regensburg Hauptbahnhof Bstg B8","49.0131973","12.1015106","0","de:09362:11090_Parent"
"de:09362:11151:0:0","","Regensburg Fritz-Fend-Str.","49.0124019","12.0940725","",""
"de:09362:11151:0:1","","Regensburg Fritz-Fend-Str.","49.0132032","12.0936773","",""
"de:09362:11160:0:1","","Regensburg Stadtamhof","49.0245556","12.098061","",""
"de:09362:11160:0:2","","Regensburg Stadtamhof","49.0246086","12.0979173","",""
"de:09362:11162:0:0","","Regensburg Dultplatz","49.0256983","12.0898864","",""
"de:09362:11162:0:2","","Regensburg Dultplatz","49.0252566","12.0907038","",""
"de:09362:11170:1:2","","Regensburg Stobäusplatz Bstg 4","49.0138572","12.1082569","0","de:09362:11170_Parent"
"de:09362:11170:2:0","","Regensburg Stobäusplatz Bstg 3","49.0135802","12.1084096","0","de:09362:11170_Parent"
"de:09362:11170:3:1","","Regensburg Stobäusplatz Bstg 2","49.0133976","12.1073586","0","de:09362:11170_Parent"
"de:09362:11170:3:3","","Regensburg Stobäusplatz Bstg 1","49.0133799","12.1074754","0","de:09362:11170_Parent"
"de:09362:11170_Parent","","Regensburg Stobäusplatz","49.0135626","12.1080413","1",""
"de:09362:11190:1:3","","Rgbg. Weißenburgstraße","49.016585","12.1117334","0","de:09362:11190_Parent"
"de:09362:11190:1:4","","Rgbg. Weißenburgstraße Bstg B","49.0165143","12.1115358","0","de:09362:11190_Parent"
"de:09362:11190:2:5","","Rgbg. Weißenburgstraße","49.0174864","12.1107991","0","de:09362:11190_Parent"
"de:09362:11190:2:6","","Rgbg. Weißenburgstraße","49.0172979","12.1106644","0","de:09362:11190_Parent"
"de:09362:11190_Parent","","Rgbg. Weißenburgstraße","49.0170269","12.11194","1",""
"de:09362:12002:0:2","","Regensburg An der Schauergrube","49.0386262","12.1521845","",""
"de:09362:12007:0:1","","Regensburg Brandlberg","49.0381197","12.135413","",""
"de:09362:12007:0:2","","Regensburg Brandlberg","49.0379902","12.1355747","",""
"de:09362:12012:0:1","","Regensburg Berchinger Straße","49.0483537","12.1190187","",""
"de:09362:12012:0:2","","Regensburg Berchinger Straße","49.0484126","12.1189828","",""
"de:09362:12014:0:1","","Regensburg Gallingkofen","49.046499","12.1027952","",""
"de:09362:12014:0:2","","Regensburg Gallingkofen","49.046923","12.1035408","",""
"de:09362:12015:0:2","","Rgbg. Donaustaufer Str. Bstg 1","49.0301454","12.1142127","",""
"de:09362:12015:0:3","","Rgbg. Donaustaufer Str. Bstg 3","49.0290911","12.1138624","",""
"de:09362:12015:0:4","","Rgbg. Donaustaufer Str.","49.0292502","12.1152009","",""
"de:09362:12016:0:1","","Rgbg. Gewerbepark/D.-Arena","49.0292443","12.1298524","",""
"de:09362:12016:0:2","","Rgbg. Gewerbepark/D.-Arena","49.0291736","12.1281995","",""
"de:09362:12017:0:1","","Regensburg Grünthaler Straße","49.0399571","12.1436685","",""
"de:09362:12017:0:2","","Regensburg Grünthaler Straße","49.0398864","12.1437853","",""
"de:09362:12018:0:2","","Regensburg Brombeerweg","49.043449","12.1608712","",""
"de:09362:12019:0:2","","Rgbg. Schulzentrum Isarstraße","49.0338265","12.1177341","",""
"de:09362:12019:0:3","","Rgbg. Schulzentrum Isarstraße","49.0339502","12.1174736","",""
"de:09362:12023:0:3","","Regensburg Hintere Keilbergstraße","49.0457807","12.1611497","",""
"de:09362:12027:0:2","","Rgbg Hollerweg","49.0483831","12.1616887","",""
"de:09362:12030:0:1","","Regensburg Kalkwerk","49.0294975","12.1350357","",""
"de:09362:12030:0:2","","Regensburg Kalkwerk","49.029686","12.1350357","",""
"de:09362:12031:0:2","","Regensburg Keilberger Hauptstraße","49.0384024","12.1569546","",""
"de:09362:12032:0:1","","Regensburg Keilberg","49.0384377","12.1586075","",""
"de:09362:12033:0:1","","Regensburg Kötztinger Straße","49.047553","12.1120119","",""
"de:09362:12033:0:2","","Regensburg Kötztinger Straße","49.0476413","12.1120658","",""
"de:09362:12036:0:1","","Regensburg Lechstraße","49.0335438","12.1220371","",""
"de:09362:12036:0:4","","Regensburg Lechstraße","49.0337146","12.1224952","",""
"de:09362:12039:0:0","","Regensburg Nordgaustraße Bstg 3","49.032731","12.1138085","0","de:09362:12039_Parent"
"de:09362:12039:0:1","","Regensburg Nordgaustraße Bstg 1","49.0339678","12.1133593","0","de:09362:12039_Parent"
"de:09362:12039:0:3","","Regensburg Nordgaustraße Bstg 2","49.0334967","12.1144463","0","de:09362:12039_Parent"
"de:09362:12039:0:4","","Regensburg Nordgaustraße Bstg 4","49.0330844","12.1128293","0","de:09362:12039_Parent"
"de:09362:12039_Parent","","Regensburg Nordgaustraße","49.0333789","12.1136738","1",""
"de:09362:12041:0:2","","Regensburg Loisachstraße","49.0338618","12.12793","",""
"de:09362:12041:0:3","","Regensburg Loisachstraße","49.0339148","12.1278132","",""
"de:09362:12047:0:3","","Regensburg Reinhausen Brücke","49.0301867","12.1030736","",""
"de:09362:12047:0:4","","Regensburg Reinhausen Brücke","49.0303575","12.1033611","",""
"de:09362:12048:0:1","","Regensburg Reinhausen Kirche","49.0308051","12.1085354","",""
"de:09362:12048:0:2","","Regensburg Reinhausen Kirche","49.0306873","12.1069184","",""
"de:09362:12051:0:2","","Rgbg. Amberger Straße","49.0399747","12.101825","",""
"de:09362:12051:0:3","","Rgbg. Amberger Straße","49.0395625","12.1017262","",""
"de:09362:12070:0:1","","Rgbg Fleischmannstr.","49.024373","12.1518971","",""
"de:09362:12070:0:2","","Rgbg Fleischmannstr.","49.0244613","12.151915","",""
"de:09362:12071:0:1","","Rgbg Schwabelweis Baseball-Stad.","49.027112","12.1395093","",""
"de:09362:12071:0:2","","Rgbg Schwabelweis Baseball-Stad.","49.0272593","12.139698","",""
"de:09362:12072:0:1","","Rgbg. Schwabelweis Heyden","49.0238782","12.1591285","",""
"de:09362:12072:0:2","","Rgbg. Schwabelweis Heyden","49.0237427","12.1594699","",""
"de:09362:12073:0:1","","Rgbg. Schwabelweis Kirchstraße","49.025074","12.1464084","",""
"de:09362:12073:0:2","","Rgbg. Schwabelweis Kirchstraße","49.025286","12.1452406","",""
"de:09362:12080:0:3","","Rgbg. Vilsstraße-Gewerbepark","49.0290263","12.1246422","",""
"de:09362:12080:0:4","","Rgbg. Vilsstraße-Gewerbepark","49.0295152","12.1238876","",""
"de:09362:12080:0:5","","Rgbg. Vilsstraße-Gewerbepark","49.0291559","12.1225761","",""
"de:09362:12081:1:3","","Rgbg. Weichs/DEZ Bstg D","49.02475","12.113521","",""
"de:09362:12081:2:0","","Rgbg. Weichs/DEZ Bstg A","49.0256925","12.1140511","",""
"de:09362:12081:2:1","","Rgbg. Weichs/DEZ Bstg B","49.0255688","12.1140331","",""
"de:09362:12085:0:0","","Regensburg Weichser Weg","49.0291913","12.1179497","",""
"de:09362:12085:0:1","","Regensburg Weichser Weg","49.0290735","12.1197464","",""
"de:09362:12085:0:2","","Regensburg Weichser Weg","49.028131","12.118318","",""
"de:09362:12099:0:2","","Rgbg. Siemensstr./Continental","49.0054488","12.1394554","",""
"de:09362:12099:0:3","","Rgbg. Siemensstr./Continental","49.0055667","12.1387547","",""
"de:09362:13001:0:1","","Harting BMW Ausbildungszentrum","48.9822315","12.1623355","",""
"de:09362:13001:0:2","","Harting BMW Ausbildungszentrum","48.9821785","12.1623355","",""
"de:09362:13002:0:0","","Harting BMW Tor 2","48.9810701","12.1706449","",""
"de:09362:13003:0:1","","Rgbg. Bukarester Straße","49.0139573","12.1460221","",""
"de:09362:13003:0:2","","Rgbg. Bukarester Straße","49.0134624","12.1468126","",""
"de:09362:13003:0:3","","Rgbg. Bukarester Straße","49.0136568","12.1474953","",""
"de:09362:13009:0:2","","Harting Frachtpostzentrum","48.9996204","12.1496693","",""
"de:09362:13010:0:1","","Harting Friedhof","48.9875137","12.1655425","",""
"de:09362:13010:0:2","","Harting Friedhof","48.9873958","12.1670696","",""
"de:09362:13011:0:2","","Harting Herbert-Quandt-Allee","48.9821902","12.1785411","",""
"de:09362:13012:0:1","","Harting Kirche","48.9860989","12.1740585","",""
"de:09362:13012:0:2","","Harting Kirche","48.9862639","12.171651","",""
