;Nummer;K¸rzel;Langname;Kurzname;Online-Info Haltestelle;Externe Online-Info Haltestelle;Anz. Pos.;Ansage-Nr.;Linien-Darst.;Funkgest¸tzt;÷ffne Verweis;X-Koord;Y-Koord;Globale Haltestellen-Kennung
126;593;GRED;Auf der Grede;Auf der Grede;;;2;267;X;;;0;0;de:09362:593
127;169;GREF;Greflingerstraﬂe;Greflingerstraﬂe;;;2;54;X;;;0;0;de:09362:169
128;17001;GTFE;Gr¸nthal Feuerwehr;Gr¸nthal Feuerwehr;;;2;46;X;;;0;0;de:09375:17001
129;1177;GTIS;Gr¸nthal Irlbacher Straﬂe;Gr¸nthal Irlbacher Straﬂe;;;2;500;X;;;0;0;de:09375:177
130;17002;GTNO;Gr¸nthal (Wenzenbach);Gr¸nthal (Wenzenbach);;;1;298;X;;;0;0;de:09375:17002
131;12017;GTS;Gr¸nthaler Straﬂe;Gr¸nthaler Straﬂe;;;2;55;X;;;0;0;de:09362:12017
132;15008;GUMP;Gumpelzhaimerstraﬂe;Gumpelzhaimerstraﬂe;;;2;292;X;;;0;0;de:09362:15008
133;14097;GUND;Burgunderstraﬂe;Burgunderstraﬂe;;;2;394;X;;;0;0;de:09362:14097
134;14038;GUTE;Gutenbergstraﬂe;Gutenbergstraﬂe;;;3;57;X;;;0;0;de:09362:14038
135;14068;HAHN;Otto-Hahn-Straﬂe;Otto-Hahn-Straﬂe;;;3;128;X;;;0;0;de:09362:14068
136;12020;HART;Harthof;Harthof;;;2;64;X;;;0;0;de:09362:12020
137;12011;HARW;Harthofer Weg;Harthofer Weg;;;4;0;;;;0;0;de:09362:12011
138;12021;HARZ;Harzstraﬂe;Harzstraﬂe;;;2;65;X;;;0;0;de:09362:12021
139;12022;HASL;Haslbach;Haslbach;;;1;66;X;;;0;0;de:09362:12022
140;598;HASW;Haslbachweg;Haslbachweg;;;2;111;X;;;0;0;de:09362:598
141;14039;HATL;Franz-Hartl-Straﬂe;Franz-Hartl-Straﬂe;;;2;324;X;;;0;0;de:09362:14039
142;14041;HAYD;Haydnstraﬂe;Haydnstraﬂe;X;;3;68;X;;;0;0;de:09362:14041
143;11090;HBF;Hauptbahnhof;Hauptbahnhof;X;;21;67;X;;;0;0;de:09362:11090
144;14031;HBFS;HBF S¸d/Arcaden;HBF S¸d/Arcaden;X;;5;424;X;;;0;0;de:09362:14031
145;11095;HBWE;Hauptbahnhof West;Hauptbahnhof West;;;1;615;X;;;0;0;de:09362:11095
146;15014;HEDW;Hedwigstraﬂe;Hedwigstraﬂe;;;1;315;X;;;0;0;de:09362:15014
147;15019;HEIN;Heinkelstraﬂe;Heinkelstraﬂe;;;2;487;X;;;0;0;de:09362:15019
148;13032;HEIS;Werner-Heisenberg-Straﬂe;Werner-Heisenberg-Straﬂe;;;2;572;X;;;0;0;de:09362:13032
